id,sentence_id,sentence,correct_answer_label,query_id,modified_question,new_response,result
0,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,1,"is st. stephen 's cathedral in vienna , with its 136 - meter - high south tower , its impressive gothic architectural style , and its striking roof made of approximately 230,000 colorful roof tiles , one of the most famous and most visited landmarks of the austrian capital vienna ?? Return a JSON boolean.",True,true
1,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,2,"is st. sir leslie stephen 's duomo in austrian capital , with its 136 - metre - high-pitched south tower , its impressive gothic architectural manner , and its dramatic roof do of approximately 230,000 colored roof roofing tile , one of the most famous and most visited turning point of the austrian working capital vienna ?? Return a JSON boolean.",False,false
2,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,3,"is st. stephen 's cathedral in vienna , with its 136 - m - eminent south column , its telling medieval architectural style , and its striking cap made of approximately 230,000 colorful ceiling tiles , one of the most celebrated and most see landmarks of the austrian capital letter capital of austria ?? Return a JSON boolean.",True,true
3,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,4,"is st. sir leslie stephen 's duomo in capital of austria , with its 136 - meter - high south column , its telling mediaeval architectural mode , and its spectacular ceiling make of approximately 230,000 colourful cap tile , one of the most famed and most visited landmark of the austrian capital austrian capital ?? Return a JSON boolean.",False,false
4,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,5,"is st. stephen 's cathedral in capital of austria , with its 136 - meter - eminent south pillar , its impressive medieval architectural manner , and its spectacular roof made of approximately 230,000 colourful ceiling tile , one of the most famous and most visit turning point of the austrian capital vienna ?? Return a JSON boolean.",True,true
5,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,6,"is st. stephen 's duomo in vienna , with its 136 - m - high south pillar , its impressive gothic architectural style , and its dramatic ceiling make of approximately 230,000 colorful cap roofing tile , one of the most celebrated and most visit landmark of the austrian working capital austrian capital ?? Return a JSON boolean.",True,true
6,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,7,"is st. stephen 's cathedral in austrian capital , with its 136 - metre - eminent south tower , its impressive mediaeval architectural mode , and its striking ceiling do of approximately 230,000 colorful roof tiles , one of the most famed and most see landmark of the austrian capital letter capital of austria ?? Return a JSON boolean.",True,true
7,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,8,"is st. sir leslie stephen 's cathedral in austrian capital , with its 136 - m - high-pitched south pillar , its telling mediaeval architectural manner , and its striking cap make of approximately 230,000 colored cap tiles , one of the most famous and most visit landmark of the austrian capital letter austrian capital ?? Return a JSON boolean.",False,false
8,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,9,"is st. sir leslie stephen 's cathedral in vienna , with its 136 - meter - high-pitched south tower , its telling mediaeval architectural style , and its spectacular roof do of approximately 230,000 colourful roof tile , one of the most celebrated and most see landmarks of the austrian working capital capital of austria ?? Return a JSON boolean.",True,true
9,1,"Is St. Stephen's Cathedral in Vienna, with its 136-meter-high south tower, its impressive Gothic architectural style, and its striking roof made of approximately 230,000 colorful roof tiles, one of the most famous and most visited landmarks of the Austrian capital Vienna?",true,10,"is st. sir leslie stephen 's cathedral in capital of austria , with its 136 - metre - high south column , its telling gothic architectural manner , and its dramatic cap made of approximately 230,000 colored ceiling roofing tile , one of the most celebrated and most see landmarks of the austrian capital letter vienna ?? Return a JSON boolean.",True,true
